4419062,Otazu,Ariana,F,1997/02/16,2016
4193208,Lopez,Yamila,F,1999/12/01,2017
4795280,Quinonez,Francisco,M,2002/04/30,2019
4446069,Hendrikx,Gael,M,1994/01/01,2017
6691111,Pereira,Alejandra,F,2001/10/02,2018
1234567,Rivarola,Maria,F,1999/03/03,2019
5555555,Perez,Maria,F,2004/01/01,2021
9876541,Sanabria,Domingo,M,1994/08/05,2013
3444716,Colbes,Jose,M,1984/08/10,2017
3444715,Colbes,Cristhian,M,1985/11/30,2004
1,Tiranosaurio,Rex,M,1820/01/01,1940
2414167,Insfran,Andrea,F,1985/02/11,2018
6541231,Juarez,Julio,M,1998/09/09,2016
